28.12.1999	34.5
29.12.1999	32.83
30.12.1999	33.4
31.12.1999	33.4
03.01.2000	33.29
04.01.2000	32.96
05.01.2000	31.39
06.01.2000	29.15
07.01.2000	27.86
10.01.2000	29.02
11.01.2000	28.73
12.01.2000	28.9
13.01.2000	29.26
14.01.2000	27.19
17.01.2000	27.78
18.01.2000	30.81
19.01.2000	30.45
20.01.2000	28.84
21.01.2000	29.31
24.01.2000	30.58
25.01.2000	30.73
26.01.2000	29.69
27.01.2000	29.58
28.01.2000	31.23
31.01.2000	33.52
01.02.2000	32.07
02.02.2000	31.61
03.02.2000	29.72
04.02.2000	30.14
07.02.2000	32.12
08.02.2000	31.27
09.02.2000	31.75
10.02.2000	32.34
11.02.2000	33.66
14.02.2000	34.85
15.02.2000	36.24
16.02.2000	33.92
17.02.2000	32.28
18.02.2000	31.85
21.02.2000	31.93
22.02.2000	31.75
23.02.2000	30.33
24.02.2000	31.03
25.02.2000	30.11
28.02.2000	32.03
29.02.2000	30.4
01.03.2000	29.17
02.03.2000	27.7
03.03.2000	27.21
06.03.2000	27.7
07.03.2000	28.43
08.03.2000	29.51
09.03.2000	28.75
10.03.2000	27.44
13.03.2000	30.44
14.03.2000	29.99
15.03.2000	30.04
16.03.2000	27.31
17.03.2000	26.56
20.03.2000	25.83
21.03.2000	25.88
22.03.2000	26.16
23.03.2000	26.54
24.03.2000	25.32
27.03.2000	25.88
28.03.2000	25.82
29.03.2000	26.23
30.03.2000	27.81
31.03.2000	27.47
03.04.2000	28.42
04.04.2000	27.49
05.04.2000	30.32
06.04.2000	27.97
07.04.2000	26.43
10.04.2000	27.09
11.04.2000	28.43
12.04.2000	28.29
13.04.2000	27.99
14.04.2000	28.57
17.04.2000	29.29
18.04.2000	27.57
19.04.2000	25.81
20.04.2000	25.12
21.04.2000	25.12
24.04.2000	25.12
25.04.2000	26.55
26.04.2000	26.56
27.04.2000	27.15
28.04.2000	24.95
01.05.2000	24.95
02.05.2000	25.99
03.05.2000	28.04
04.05.2000	27.37
05.05.2000	25.59
08.05.2000	26.88
09.05.2000	27.33
10.05.2000	28.16
11.05.2000	26.44
12.05.2000	26.08
15.05.2000	26.66
16.05.2000	25.31
17.05.2000	25.48
18.05.2000	24.51
19.05.2000	25.94
22.05.2000	28.07
23.05.2000	27.34
24.05.2000	27.38
25.05.2000	25.93
26.05.2000	25.36
29.05.2000	24.96
30.05.2000	24.75
31.05.2000	24.88
01.06.2000	24.07
02.06.2000	22.34
05.06.2000	22.8
06.06.2000	23.07
07.06.2000	23.25
08.06.2000	22.82
09.06.2000	22.2
12.06.2000	22.58
13.06.2000	22.28
14.06.2000	21.27
15.06.2000	20.46
16.06.2000	19.78
19.06.2000	20.45
20.06.2000	20.5
21.06.2000	20.81
22.06.2000	21.19
23.06.2000	21.06
26.06.2000	21.44
27.06.2000	21.07
28.06.2000	21
29.06.2000	22.12
30.06.2000	20.96
03.07.2000	21.42
04.07.2000	21.45
05.07.2000	21.67
06.07.2000	21.59
07.07.2000	20.97
10.07.2000	20.74
11.07.2000	20.51
12.07.2000	20
13.07.2000	19.34
14.07.2000	18.63
17.07.2000	18.94
18.07.2000	19.21
19.07.2000	19.66
20.07.2000	18.98
21.07.2000	19.07
24.07.2000	19.76
25.07.2000	19.74
26.07.2000	19.79
27.07.2000	20.07
28.07.2000	20.18
31.07.2000	20.89
01.08.2000	21.35
02.08.2000	21.08
03.08.2000	21.73
04.08.2000	21.16
07.08.2000	20.96
08.08.2000	20.34
09.08.2000	19.8
10.08.2000	19.53
11.08.2000	19.1
14.08.2000	19.01
15.08.2000	19.31
16.08.2000	18.7
17.08.2000	18.43
18.08.2000	18.12
21.08.2000	18.61
22.08.2000	18.91
23.08.2000	18.67
24.08.2000	18.54
25.08.2000	18.12
28.08.2000	18.77
29.08.2000	19.04
30.08.2000	19.28
31.08.2000	18.62
01.09.2000	17.79
04.09.2000	18.02
05.09.2000	18.6
06.09.2000	18.24
07.09.2000	17.99
08.09.2000	18.07
11.09.2000	18.25
12.09.2000	18.07
13.09.2000	18.69
14.09.2000	18
15.09.2000	17.06
18.09.2000	19.24
19.09.2000	18.57
20.09.2000	22.32
21.09.2000	23.69
22.09.2000	22.91
25.09.2000	21.72
26.09.2000	21.79
27.09.2000	21.39
28.09.2000	21.41
29.09.2000	21.15
02.10.2000	21.44
03.10.2000	21.78
04.10.2000	21.78
05.10.2000	21.06
06.10.2000	22.16
09.10.2000	24.05
10.10.2000	24.38
11.10.2000	26.39
12.10.2000	27.68
13.10.2000	27.23
16.10.2000	27.67
17.10.2000	28.33
18.10.2000	27.89
19.10.2000	25.33
20.10.2000	23.55
23.10.2000	24.14
24.10.2000	23.61
25.10.2000	24.3
26.10.2000	24.77
27.10.2000	22.27
30.10.2000	22.83
31.10.2000	22.22
01.11.2000	22.44
02.11.2000	22.37
03.11.2000	21.64
06.11.2000	22.63
07.11.2000	23.01
08.11.2000	23.08
09.11.2000	24.21
10.11.2000	24.35
13.11.2000	26.49
14.11.2000	24.11
15.11.2000	23.41
16.11.2000	23.66
17.11.2000	23.43
20.11.2000	25.01
21.11.2000	23.88
22.11.2000	24.46
23.11.2000	23.6
24.11.2000	23.52
27.11.2000	24.03
28.11.2000	24.13
29.11.2000	24.33
30.11.2000	26.96
01.12.2000	25.3
04.12.2000	25.44
05.12.2000	23.95
06.12.2000	24.5
07.12.2000	24.72
08.12.2000	23.98
11.12.2000	23.36
12.12.2000	22.82
13.12.2000	22.08
14.12.2000	20.72
15.12.2000	21.2
18.12.2000	20.96
